Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MMA Merchandising With Channel Wise Data Verification,,,2018-11-08 17:59:55,2018-11-08 18:11:55,11m - 59.464s,FAILED
,,,,,,
Test Cases/LaunchingApp/LaunchApp,,,2018-11-08 17:59:56,2018-11-08 18:00:21,25.173s,PASSED
startApplication,,launch application,2018-11-08 17:59:57,2018-11-08 18:00:16,19.179s,PASSED
delay,,delay of 5 seconds,2018-11-08 18:00:16,2018-11-08 18:00:21,5.045s,PASSED
,,,,,,
Test Cases/DistributionPoint/VisitDistributionPoint,,,2018-11-08 18:00:21,2018-11-08 18:01:04,42.676s,PASSED
verifyElementText,,validate dashboard screen appearance,2018-11-08 18:00:22,2018-11-08 18:00:25,3.869s,PASSED
tap,,tap on start your day button,2018-11-08 18:00:25,2018-11-08 18:00:26,0.414s,PASSED
delay,,delay of 15 seconds for check in through map screen,2018-11-08 18:00:26,2018-11-08 18:00:41,15.006s,PASSED
verifyElementExist,,validate map screen appearance,2018-11-08 18:00:41,2018-11-08 18:00:42,1.553s,PASSED
tap,,tap on check in button through map,2018-11-08 18:00:42,2018-11-08 18:00:43,0.555s,PASSED
verifyElementExist,,validate confirm popup appearance,2018-11-08 18:00:43,2018-11-08 18:00:44,1.156s,PASSED
tap,,tap on confirm popup no button,2018-11-08 18:00:44,2018-11-08 18:00:45,0.756s,PASSED
verifyElementText,,validate channel summary detail screen appearance,2018-11-08 18:00:45,2018-11-08 18:00:47,1.568s,PASSED
tap,,tap on next button to further proceed,2018-11-08 18:00:47,2018-11-08 18:00:47,0.511s,PASSED
verifyElementText,,validate distribution point screen appearance,2018-11-08 18:00:47,2018-11-08 18:00:48,1.469s,PASSED
com.ct.qa.keywords.DistributionPointKeywords.visitdistributionPoint,,enter quantity of products on distribution point,2018-11-08 18:00:48,2018-11-08 18:01:02,13.474s,PASSED
tap,,tap on submit button after enter the quantity of products on distribution point,2018-11-08 18:01:02,2018-11-08 18:01:03,0.954s,PASSED
verifyElementText,,validate dashboard screen appearance,2018-11-08 18:01:03,2018-11-08 18:01:04,0.663s,PASSED
tap,,tap on start your day button,2018-11-08 18:01:04,2018-11-08 18:01:04,0.389s,PASSED
,,,,,,
Test Cases/VisitShopScenarios/VisitShopsWithDataVerification,,,2018-11-08 18:01:04,2018-11-08 18:11:55,10m - 50.886s,FAILED
verifyElementText,,Validate shops list screen appearance,2018-11-08 18:01:04,2018-11-08 18:01:06,1.656s,PASSED
com.ct.qa.keywords.ShopVisitingScenariosKeywords.visitShopWith_DataVerification,,select shops from shops list for data verification,2018-11-08 18:01:06,2018-11-08 18:11:55,10m - 49.023s,FAILED
